"","ClusterID","TID","X","Y","V","Movie","Type","ID","StepX","StepY","State"
"191","4","3",143.222,136.476,0.108,"20180206","non-invader","20180206-4-3-non-invader",0.403999999999996,0.137,"1"
"192","4","3",143.358,136.85,0.101,"20180206","non-invader","20180206-4-3-non-invader",0.135999999999996,0.373999999999995,"1"
"193","4","3",144.451,136.354,0.305,"20180206","non-invader","20180206-4-3-non-invader",1.09299999999999,0.495999999999981,"1"
"196","4","3",143.938,135.716,0.11,"20180206","non-invader","20180206-4-3-non-invader",0.194000000000017,0.388999999999982,"1"
"197","4","3",142.471,135.075,0.406,"20180206","non-invader","20180206-4-3-non-invader",1.46699999999998,0.64100000000002,"2"
"198","4","3",137.777,135.206,1.192,"20180206","non-invader","20180206-4-3-non-invader",4.69400000000002,0.131,"2"
"199","4","3",134.381,136.599,0.466,"20180206","non-invader","20180206-4-3-non-invader",3.39599999999999,1.393,"2"
"200","4","3",133.952,136.755,0.116,"20180206","non-invader","20180206-4-3-non-invader",0.429000000000002,0.156000000000006,"2"
"201","4","3",132.104,136.899,0.471,"20180206","non-invader","20180206-4-3-non-invader",1.84799999999998,0.144000000000005,"2"
"202","4","3",128.745,133.739,1.171,"20180206","non-invader","20180206-4-3-non-invader",3.35900000000001,3.16,"1"
"203","4","3",128.323,132.075,0.436,"20180206","non-invader","20180206-4-3-non-invader",0.421999999999997,1.66400000000002,"1"
"204","4","3",127.952,131.301,0.218,"20180206","non-invader","20180206-4-3-non-invader",0.371000000000009,0.774000000000001,"1"
"206","4","4",133.47,175.424,1.77,"20180206","non-invader","20180206-4-4-non-invader",6.35299999999999,2.87899999999999,"2"
"207","4","4",141.219,168.974,2.559,"20180206","non-invader","20180206-4-4-non-invader",7.749,6.45000000000002,"2"
"208","4","4",144.514,176.158,2.006,"20180206","non-invader","20180206-4-4-non-invader",3.29500000000002,7.184,"2"
"209","4","4",139.993,186.808,2.937,"20180206","non-invader","20180206-4-4-non-invader",4.52100000000002,10.65,"2"
"210","4","4",138.006,187.811,0.565,"20180206","non-invader","20180206-4-4-non-invader",1.98699999999999,1.00300000000001,"2"
"211","4","4",137.214,179.11,2.217,"20180206","non-invader","20180206-4-4-non-invader",0.792000000000002,8.70099999999999,"2"
"212","4","4",136.892,174.444,1.187,"20180206","non-invader","20180206-4-4-non-invader",0.322000000000003,4.66600000000003,"1"
"213","4","4",137.657,174.786,0.213,"20180206","non-invader","20180206-4-4-non-invader",0.765000000000015,0.342000000000013,"1"
"214","4","4",137.133,175.338,0.193,"20180206","non-invader","20180206-4-4-non-invader",0.524000000000001,0.551999999999992,"1"
"215","4","4",137.162,175.958,0.158,"20180206","non-invader","20180206-4-4-non-invader",0.0289999999999964,0.620000000000005,"1"
"217","4","4",138.012,175.726,0.189,"20180206","non-invader","20180206-4-4-non-invader",0.639999999999986,0.378999999999991,"1"
"218","4","4",138.82,174.866,0.299,"20180206","non-invader","20180206-4-4-non-invader",0.807999999999993,0.859999999999985,"1"
"219","4","4",142.98,172.899,1.168,"20180206","non-invader","20180206-4-4-non-invader",4.16,1.96700000000001,"1"
"220","4","4",144.402,171.985,0.429,"20180206","non-invader","20180206-4-4-non-invader",1.422,0.913999999999987,"1"
"221","4","4",145.411,170.634,0.428,"20180206","non-invader","20180206-4-4-non-invader",1.00900000000001,1.35100000000003,"1"
"222","4","4",146.136,169.486,0.345,"20180206","non-invader","20180206-4-4-non-invader",0.724999999999994,1.148,"1"
"223","4","4",146.252,168.275,0.309,"20180206","non-invader","20180206-4-4-non-invader",0.116000000000014,1.21099999999998,"2"
"224","4","4",143.889,174.205,1.62,"20180206","non-invader","20180206-4-4-non-invader",2.363,5.93000000000001,"2"
"225","4","4",151.768,172.993,2.023,"20180206","non-invader","20180206-4-4-non-invader",7.87899999999999,1.21200000000002,"2"
"226","4","4",151.644,165.966,1.784,"20180206","non-invader","20180206-4-4-non-invader",0.123999999999995,7.02699999999999,"1"
"227","4","4",150.684,165.128,0.323,"20180206","non-invader","20180206-4-4-non-invader",0.960000000000008,0.838000000000022,"1"
"228","4","4",149.791,165.488,0.244,"20180206","non-invader","20180206-4-4-non-invader",0.893000000000001,0.360000000000014,"1"
"230","4","4",147.727,164.443,0.591,"20180206","non-invader","20180206-4-4-non-invader",1.964,1.25,"2"
"231","4","4",145.298,164.727,0.621,"20180206","non-invader","20180206-4-4-non-invader",2.429,0.283999999999992,"2"
"232","4","4",142.172,168.563,1.256,"20180206","non-invader","20180206-4-4-non-invader",3.126,3.83599999999998,"2"
"233","4","4",144.04,172.525,1.111,"20180206","non-invader","20180206-4-4-non-invader",1.86799999999999,3.96200000000002,"2"
"234","4","4",150.934,174.754,1.839,"20180206","non-invader","20180206-4-4-non-invader",6.89400000000001,2.22899999999998,"2"
"235","4","4",155.403,172.192,1.307,"20180206","non-invader","20180206-4-4-non-invader",4.46899999999999,2.56199999999998,"1"
"236","4","4",155.958,171.622,0.202,"20180206","non-invader","20180206-4-4-non-invader",0.555000000000007,0.569999999999993,"1"
"238","4","4",156.562,170.926,0.202,"20180206","non-invader","20180206-4-4-non-invader",0.438000000000017,0.663000000000011,"1"
"239","4","4",157.808,169.393,0.501,"20180206","non-invader","20180206-4-4-non-invader",1.24599999999998,1.53299999999999,"1"
"240","4","4",159.775,167.295,0.73,"20180206","non-invader","20180206-4-4-non-invader",1.96700000000001,2.09800000000001,"1"
"241","4","4",157.056,167.586,0.694,"20180206","non-invader","20180206-4-4-non-invader",2.71899999999999,0.291000000000025,"1"
"242","4","4",154.865,168.769,0.632,"20180206","non-invader","20180206-4-4-non-invader",2.191,1.18299999999999,"1"
"243","4","4",154.44,169.341,0.181,"20180206","non-invader","20180206-4-4-non-invader",0.425000000000011,0.572000000000003,"2"
"244","4","4",153.652,171.602,0.608,"20180206","non-invader","20180206-4-4-non-invader",0.788000000000011,2.261,"2"
"245","4","4",152.849,174.071,0.659,"20180206","non-invader","20180206-4-4-non-invader",0.802999999999997,2.46899999999999,"2"
"246","4","4",151.273,177.426,0.941,"20180206","non-invader","20180206-4-4-non-invader",1.57599999999999,3.35499999999999,"2"
"247","4","4",149.8,180.228,0.804,"20180206","non-invader","20180206-4-4-non-invader",1.47299999999998,2.80200000000002,"2"
"248","4","4",148.526,182.252,0.607,"20180206","non-invader","20180206-4-4-non-invader",1.274,2.024,"2"
"249","4","4",147.538,185.01,0.743,"20180206","non-invader","20180206-4-4-non-invader",0.988,2.75799999999998,"1"
"250","4","4",147.289,186.064,0.275,"20180206","non-invader","20180206-4-4-non-invader",0.249000000000024,1.054,"1"
"251","4","4",147.082,187.028,0.25,"20180206","non-invader","20180206-4-4-non-invader",0.206999999999994,0.963999999999999,"1"
"252","4","4",146.989,188.86,0.466,"20180206","non-invader","20180206-4-4-non-invader",0.0929999999999893,1.83200000000002,"2"
"253","4","4",145.676,192.926,1.084,"20180206","non-invader","20180206-4-4-non-invader",1.31300000000002,4.06599999999997,"2"
"254","4","4",141.873,196.351,1.299,"20180206","non-invader","20180206-4-4-non-invader",3.803,3.42500000000001,"1"
"255","4","4",141.134,196.501,0.191,"20180206","non-invader","20180206-4-4-non-invader",0.739000000000004,0.150000000000006,"1"
"256","4","4",140.887,195.564,0.246,"20180206","non-invader","20180206-4-4-non-invader",0.246999999999986,0.937000000000012,"1"
"257","4","4",141.145,194.189,0.355,"20180206","non-invader","20180206-4-4-non-invader",0.25800000000001,1.375,"1"
"258","4","4",143.521,192.981,0.677,"20180206","non-invader","20180206-4-4-non-invader",2.37599999999998,1.208,"1"
"259","4","4",145.259,193.088,0.442,"20180206","non-invader","20180206-4-4-non-invader",1.738,0.106999999999999,"1"
"260","4","4",145.912,195.231,0.569,"20180206","non-invader","20180206-4-4-non-invader",0.65300000000002,2.143,"1"
"261","4","4",146.972,193.809,0.45,"20180206","non-invader","20180206-4-4-non-invader",1.06,1.422,"1"
